rapper,title,year
Nas,Illmatic,1994
Bone Thugs-N-Harmony,E. 1999 Eternal,1995
Nas,It Was Written,1996
Fugees,The Score,1996
2Pac,Killuminati: The Seven Day Theory,1996
Notorious BIG,Life After Death,1997
OutKast,Aquemini,1998
Dr Dre,The Chronic,2001
AZ,Aziatic,2002
Eminem,The Eminem Show,2002
Kanye West,My Beautiful Dark Twisted Fantasy,2012
Kendrick Lamar,Good Kid M.A.A.D City,2012
Earl Sweatshirt,Doris,2012
Schoolboy Q,Oxymoron,2012
Freddie Gibbs,Pinata,2014
Kendrick Lamar,To Pimp a Butterfly,2015
Freddie Gibbs,You Only Live 2wice,2017
Rapsody,Laila's Wisdom,2017
Kendrick Lamar,DAMN.,2017
Pusha T,DAYTONA,2018